sample_ID,,Hyper.MS1,Hyper.MS2,Hyper.MS3,Hypo.MS1,Hypo.MS2,Hypo.MS3,Hypo.MS4,Hypo.MS5,Hypo.MS6,Hypo.MS7,cancertype
TCGA-OL-A66H,,1112.617411,472.0091485,0.203740309,304.5195955,0.083693077,299.2566278,152.9269834,0.003190187,0.113986717,1090.138223,BRCA
TCGA-EW-A2FW,,1141.856923,478.6264748,0.024901976,38.51323618,3.44E-32,2.68E-07,3.89E-25,2.85E-22,6.94E-35,1479.964464,BRCA
TCGA-AC-A62Y,,1345.653951,237.7404866,0.005362067,3.163970795,3.08E-11,78.08431346,465.1725252,0.297274211,280.1421678,1005.228149,BRCA
TCGA-E9-A1R2,,1380.627685,343.9463961,13.38131845,21.34548038,0.098485218,51.80695612,245.4584651,225.540294,569.9078047,1267.887314,BRCA
TCGA-AR-A255,,1606.082225,195.8320826,83.55719206,212.5352453,4.741634783,92.6915845,485.2302848,39.40752005,199.9777751,940.684836,BRCA
TCGA-E2-A10B,,1603.56809,317.2844816,17.33432811,239.7549794,0.072997624,272.2452449,116.7535539,24.04777974,124.572141,1480.524231,BRCA
TCGA-AO-A0JD,,1146.626555,454.6203482,0.460496775,205.2148595,3.10E-07,48.50824748,634.8844961,1.068355292,118.0669605,616.6019809,BRCA
TCGA-D8-A1JD,,1395.677964,274.0869577,33.78367807,266.1862145,8.49E-05,135.5650518,278.9472268,0.56437221,0.029962145,1014.972888,BRCA
TCGA-D8-A1XA,,1876.194749,89.6161363,39.44351445,63.66035633,8.25E-16,0.633077834,56.96737534,0.000151067,1.23E-08,1190.740139,BRCA
TCGA-AO-A1KQ,,1220.187385,326.543538,1.39797717,219.3202802,2.90E-10,0.00057911,315.7931419,0.000130503,8.90E-06,819.0646593,BRCA
TCGA-A8-A0A6,,1726.56518,177.4913575,40.14826216,2.60E-10,3.75E-09,0.779368886,619.6492182,128.4788811,487.4463058,1099.660626,BRCA
TCGA-A7-A3RF,,1395.178813,186.5570012,23.54288628,76.06020474,3.04E-18,98.87431332,3.09E-08,1.08E-07,6.79E-11,1168.648082,BRCA
TCGA-A2-A0SW,,1841.135476,64.5726866,58.45445651,302.2844316,3.94E-06,81.93202334,541.0359163,3.94E-11,4.34E-06,356.4445204,BRCA
TCGA-GM-A2D9,,1812.349219,104.6809005,96.02378084,129.6064975,0.009114214,296.2305319,97.32036479,0.385723207,7.36485601,1462.924112,BRCA
TCGA-EW-A1P5,,1573.976836,245.7594729,34.67679101,4.40E-29,7.63E-21,3.98E-19,270.6546215,2.508148503,257.6604429,1301.991487,BRCA
TCGA-E9-A1RD,,1451.340001,362.9485929,60.04160659,78.10664738,20.66190211,137.7343267,91.83968894,166.9431238,504.2031099,1467.766801,BRCA
TCGA-BH-A1EN,,2156.027746,3.26866762,122.0691865,0.261728689,4.12E-11,259.8450164,440.513806,0.055579013,0.1003332,1033.791037,BRCA
TCGA-BH-A1FN,,1411.521376,146.7336237,1.37E-13,2.29E-18,9.27E-10,1.48E-07,317.0320312,21.67175227,260.9610678,1065.848349,BRCA
TCGA-EW-A1PD,,1578.996309,74.69294162,34.82174969,0.000171813,1.26E-08,130.7642244,574.3124894,87.85672722,425.4509286,917.2458585,BRCA
TCGA-E9-A1N5,,1322.311847,348.1421199,15.42653348,160.7970649,0.000166768,110.8287124,264.1449598,80.07346908,95.14941129,1341.545016,BRCA
TCGA-D8-A1J8,,1769.386433,163.2410568,82.03901008,0.011865795,0.000151952,237.2572459,674.525514,3.677200913,228.6032048,1012.031217,BRCA
TCGA-BH-A0H0,,1612.404783,342.1444701,0.900270131,586.6433275,1.29E-42,49.08927096,2.18E-68,9.89E-50,3.88E-77,1034.210202,BRCA
TCGA-A2-A3XX,,1167.783781,373.9487185,7.46E-11,183.5650091,8.226211545,175.1486558,612.0674557,266.8943616,688.7768144,626.3152919,BRCA
TCGA-A2-A0YC,,1541.921515,310.7921872,43.23229731,73.9404595,5.67E-12,1.50E-11,130.4340222,9.169551193,0.063942427,1426.670725,BRCA
TCGA-GM-A2DC,,1816.02334,124.1523051,78.92825451,142.8535655,0.018399728,175.8487233,3.92E-06,41.02514211,289.9888188,1600.728647,BRCA
TCGA-AR-A24N,,2030.783611,54.26834902,103.9004401,203.4252968,0.000137059,197.3856336,195.3867774,1.452173309,0.027082705,1293.962699,BRCA
TCGA-EW-A6S9,,1578.668771,196.1475307,12.7488985,0.000105146,8.57E-08,237.3589695,288.8749621,1.2187407,43.44504469,1160.863578,BRCA
TCGA-A1-A0SJ,,1724.651566,196.9460784,39.2050553,3.771263006,1.47E-13,1.615063506,552.1017033,7.361745503,233.454733,1226.605392,BRCA
TCGA-BH-A0BC,,1257.55001,423.7345155,0.000474738,138.9711645,0.059609812,157.9167807,425.4210425,8.546802858,144.4842036,1285.472096,BRCA
TCGA-BH-A1EW,,1664.668881,186.0146603,46.83665914,66.550961,8.39E-07,90.43724304,667.1690622,10.24182908,278.749772,1123.208232,BRCA
TCGA-BH-A1FG,,1381.263807,329.0241065,5.055387025,3.88E-20,6.02E-16,0.197576481,287.9755415,0.035762522,312.6124703,1393.746749,BRCA
TCGA-D8-A27P,,823.5934464,464.946248,5.68E-06,3.86E-05,7.67E-07,37.84243527,191.6600759,150.5004962,334.3589355,1247.579418,BRCA
TCGA-E2-A1IL,,1343.116094,325.7061837,0.009822276,51.86305263,0.029485903,179.9315562,67.83980424,0.317061141,60.42646341,1514.737777,BRCA
TCGA-A7-A3IZ,,2053.945374,9.109543905,99.27158243,130.6529877,1.02E-36,9.53E-07,1.76E-47,6.95E-36,6.77E-51,1307.220811,BRCA
TCGA-E2-A570,,1442.975757,235.9127803,0.101463164,4.30E-13,2.56E-14,1.65E-13,270.3974319,23.29081346,220.5243322,1311.651822,BRCA
TCGA-OL-A66J,,1322.633169,253.3687628,49.07756795,249.9623358,1.403211361,1.866053689,408.5575648,156.7159866,179.6911423,686.9275055,BRCA
TCGA-LL-A5YM,,2046.937304,30.83882778,120.8767685,49.46004964,0.000366798,19.20447458,303.4463621,76.4682754,120.1389795,1244.003292,BRCA
TCGA-A2-A0T2,,1449.233482,216.9122182,1.09E-13,335.8068665,0.376878856,91.11273206,448.2535523,75.8215279,16.67228882,902.4932536,BRCA
TCGA-AR-A0TP,,1797.946543,69.3018691,1.26E-15,354.7057696,0.067864427,741.6462294,524.4662739,206.0367251,61.52055884,559.9131141,BRCA
TCGA-B6-A0RS,,1454.990703,229.4803967,1.27E-08,299.5178667,1.12E-12,290.5372657,395.2498293,0.000852975,4.13E-09,647.5473853,BRCA
TCGA-EW-A1P0,,1730.363517,168.2959565,0.743626551,125.2322193,5.75E-25,0.127021516,1.04E-28,8.25E-29,1.54E-38,1493.939426,BRCA
TCGA-A2-A1G0,,851.8255725,505.3078275,1.70E-09,138.8656295,8.96E-07,14.89460778,391.6340533,81.95625616,107.1634247,1083.987928,BRCA
TCGA-AR-A24H,,2183.870608,5.38E-06,58.22558687,337.5286821,5.94E-22,88.89062403,1.84E-16,6.77E-33,6.20E-38,1019.407625,BRCA
TCGA-D8-A1XV,,1988.08631,2.39E-05,38.91826578,2.46E-09,2.43E-14,45.11108739,3.78E-10,4.159844545,87.5755096,1420.867558,BRCA
TCGA-AR-A0TU,,1731.443003,217.4407631,0.002534294,3.16E-11,0.000547923,0.571001807,1249.43886,90.68346709,941.3705371,211.7381856,BRCA
TCGA-AN-A0XV,,1879.003649,79.1413657,74.00888483,9.469298308,4.52E-06,223.8893681,359.3746008,0.536128852,284.6668209,1199.694679,BRCA
TCGA-A2-A0YT,,1903.550578,0.038472419,67.99234965,244.3447268,3.91E-16,136.8584397,89.06556036,5.11E-14,9.69E-15,873.6991731,BRCA
TCGA-BH-A0B5,,1718.632797,189.9633601,54.58174321,156.6618189,3.15E-06,21.71579001,110.4107733,51.60039821,0.650822674,1438.965294,BRCA
TCGA-D8-A1JI,,1558.975551,261.1554687,78.21918016,272.7179188,9.53E-40,1.16E-09,1.08E-56,1.63E-47,1.62E-62,966.4582812,BRCA
TCGA-E9-A1R6,,1845.306697,132.5992527,98.2037502,87.39616595,1.45E-05,2.39E-06,0.002620485,37.38590836,5.222747671,1688.317941,BRCA
TCGA-D8-A1XZ,,1866.309464,0.196489261,39.21804653,362.587053,0.004089456,144.1270649,285.0792409,1.95E-10,1.06E-13,442.8720441,BRCA
TCGA-BH-A0B8,,2001.475585,65.18337517,103.1416396,242.0530323,1.77E-19,272.3616298,9.48E-30,2.73E-19,1.84E-29,1271.185338,BRCA
TCGA-LL-A6FQ,,2118.590627,0.038913239,55.51615948,3.16E-10,5.61E-26,1.42E-16,2.92E-29,7.15E-23,9.23E-29,1157.838453,BRCA
TCGA-EW-A1OY,,1596.916736,159.0690513,0.050012241,212.9817655,2.36E-40,104.7898088,9.16E-25,6.51E-40,3.11E-47,823.600344,BRCA
